CqF03, B, 0, -inf, -inf, inf
2L3t2, G, 1, inf, -inf, inf
4UJ6B, B, 2, -inf, -inf, inf
4YVsA, G, 3, inf, -inf, inf
4p8dS, G, 4, -inf, -inf, inf
66q9x, G, 5, 41, -inf, inf
4p8dS, G, 4, 41, 41, inf
66q9x, O, 5, 32, 41, inf
4p8dS, G, 4, 41, 41, inf
66q9x, R, 5, 10, 41, inf
4p8dS, G, 4, 41, 41, inf
66q9x, Y, 5, 19, 41, inf
4p8dS, G, 4, 41, 41, inf
EfAlJ, B, 5, 21, 41, inf
4p8dS, G, 4, 41, 41, inf
EfAlJ, O, 5, 32, 41, inf
4p8dS, G, 4, 41, 41, inf
EfAlJ, R, 5, 10, 41, inf
4p8dS, G, 4, 41, 41, inf
EfAlJ, Y, 5, 19, 41, inf
4p8dS, G, 4, 41, 41, inf
HEPJv, O, 5, 32, 41, inf
4p8dS, G, 4, 41, 41, inf
HEPJv, R, 5, 10, 41, inf
4p8dS, G, 4, 41, 41, inf
HEPJv, Y, 5, 19, 41, inf
4p8dS, G, 4, 41, 41, inf
HsqqQ, B, 5, 21, 41, inf
4p8dS, G, 4, 41, 41, inf
HsqqQ, O, 5, 32, 41, inf
4p8dS, G, 4, 41, 41, inf
HsqqQ, R, 5, 10, 41, inf
4p8dS, G, 4, 41, 41, inf
HsqqQ, Y, 5, 19, 41, inf
4p8dS, G, 4, 41, 41, inf
RuDQS, G, 5, 41, 41, inf
4p8dS, G, 4, 41, 41, inf
RuDQS, O, 5, 32, 41, inf
4p8dS, G, 4, 41, 41, inf
RuDQS, Y, 5, 19, 41, inf
4p8dS, G, 4, 41, 41, inf
SQWho, O, 5, 32, 41, inf
4p8dS, G, 4, 41, 41, inf
SQWho, Y, 5, 19, 41, inf
4p8dS, G, 4, 41, 41, inf
Vl2tc, B, 5, 21, 41, inf
4p8dS, G, 4, 41, 41, inf
Vl2tc, O, 5, 32, 41, inf
4p8dS, G, 4, 41, 41, inf
Vl2tc, Y, 5, 19, 41, inf
4p8dS, G, 4, 41, 41, inf
ZqkG6, O, 5, 32, 41, inf
4p8dS, G, 4, 41, 41, inf
ZqkG6, R, 5, 10, 41, inf
4p8dS, G, 4, 41, 41, inf
